/*venta*/
INSERT INTO venta VALUES(1, 'Sin IVA', 9);
INSERT INTO venta VALUES(502, 'Escolar', 121);
INSERT INTO venta VALUES(503, 'Halloween', 103);
INSERT INTO venta VALUES(504, 'Black Friday', 146);
INSERT INTO venta VALUES(505, 'Sin IVA', 48);
INSERT INTO venta VALUES(506, 'Navidad', 113);
INSERT INTO venta VALUES(507, 'Halloween', 48);
INSERT INTO venta VALUES(508, 'Navidad', 22);
INSERT INTO venta VALUES(509, 'Black Friday', 59);
INSERT INTO venta VALUES(510, 'Black Friday', 2);
INSERT INTO venta VALUES(511, 'San Valentin', 11);
INSERT INTO venta VALUES(512, 'San Valentin', 75);
INSERT INTO venta VALUES(513, 'San Valentin', 21);
INSERT INTO venta VALUES(514, 'Black Friday', 30);
INSERT INTO venta VALUES(515, 'Black Friday', 103);
INSERT INTO venta VALUES(516, 'Navidad', 89);
INSERT INTO venta VALUES(517, 'Halloween', 132);
INSERT INTO venta VALUES(518, 'Black Friday', 143);
INSERT INTO venta VALUES(519, 'Navidad', 139);
INSERT INTO venta VALUES(520, 'Navidad', 119);
INSERT INTO venta VALUES(521, 'Halloween', 24);
INSERT INTO venta VALUES(522, 'Escolar', 84);
INSERT INTO venta VALUES(523, 'Navidad', 58);
INSERT INTO venta VALUES(524, 'Black Friday', 121);
INSERT INTO venta VALUES(525, 'Black Friday', 128);
INSERT INTO venta VALUES(526, 'Navidad', 146);
INSERT INTO venta VALUES(527, 'Escolar', 60);
INSERT INTO venta VALUES(528, 'Black Friday', 148);
INSERT INTO venta VALUES(529, 'Escolar', 117);
INSERT INTO venta VALUES(530, 'San Valentin', 126);
INSERT INTO venta VALUES(531, 'Black Friday', 32);
INSERT INTO venta VALUES(532, 'Año nuevo', 7);
INSERT INTO venta VALUES(533, 'Sin IVA', 138);
INSERT INTO venta VALUES(534, 'Halloween', 2);
INSERT INTO venta VALUES(535, 'Black Friday', 110);
INSERT INTO venta VALUES(536, 'Halloween', 66);
INSERT INTO venta VALUES(537, 'Black Friday', 30);
INSERT INTO venta VALUES(538, 'Navidad', 20);
INSERT INTO venta VALUES(539, 'Año nuevo', 86);
INSERT INTO venta VALUES(540, 'Escolar', 123);
INSERT INTO venta VALUES(541, 'Sin IVA', 114);
INSERT INTO venta VALUES(542, 'Año nuevo', 110);
INSERT INTO venta VALUES(543, 'San Valentin', 26);
INSERT INTO venta VALUES(544, 'Halloween', 18);
INSERT INTO venta VALUES(545, 'Año nuevo', 105);
INSERT INTO venta VALUES(546, 'Navidad', 57);
INSERT INTO venta VALUES(547, 'Black Friday', 24);
INSERT INTO venta VALUES(548, 'Año nuevo', 19);
INSERT INTO venta VALUES(549, 'Sin IVA', 62);
INSERT INTO venta VALUES(550, 'Año nuevo', 89);
INSERT INTO venta VALUES(551, 'Sin IVA', 134);
INSERT INTO venta VALUES(552, 'Navidad', 137);
INSERT INTO venta VALUES(553, 'Año nuevo', 85);
INSERT INTO venta VALUES(554, 'Escolar', 49);
INSERT INTO venta VALUES(555, 'Escolar', 60);
INSERT INTO venta VALUES(556, 'Halloween', 41);
INSERT INTO venta VALUES(557, 'Navidad', 41);
INSERT INTO venta VALUES(558, 'Halloween', 82);
INSERT INTO venta VALUES(559, 'San Valentin', 89);
INSERT INTO venta VALUES(560, 'Año nuevo', 36);
INSERT INTO venta VALUES(561, 'Sin IVA', 96);
INSERT INTO venta VALUES(562, 'Halloween', 96);
INSERT INTO venta VALUES(563, 'Black Friday', 94);
INSERT INTO venta VALUES(564, 'Halloween', 61);
INSERT INTO venta VALUES(565, 'Halloween', 59);
INSERT INTO venta VALUES(566, 'Escolar', 115);
INSERT INTO venta VALUES(567, 'Sin IVA', 34);
INSERT INTO venta VALUES(568, 'Navidad', 83);
INSERT INTO venta VALUES(569, 'Sin IVA', 41);
INSERT INTO venta VALUES(570, 'Black Friday', 29);
INSERT INTO venta VALUES(571, 'Sin IVA', 118);
INSERT INTO venta VALUES(572, 'Halloween', 144);
INSERT INTO venta VALUES(573, 'Black Friday', 73);
INSERT INTO venta VALUES(574, 'Navidad', 127);
INSERT INTO venta VALUES(575, 'Black Friday', 66);
INSERT INTO venta VALUES(576, 'Año nuevo', 17);
INSERT INTO venta VALUES(577, 'Sin IVA', 1);
INSERT INTO venta VALUES(578, 'Black Friday', 95);
INSERT INTO venta VALUES(579, 'Halloween', 131);
INSERT INTO venta VALUES(580, 'Halloween', 132);
INSERT INTO venta VALUES(581, 'Sin IVA', 81);
INSERT INTO venta VALUES(582, 'Año nuevo', 25);
INSERT INTO venta VALUES(583, 'Sin IVA', 51);
INSERT INTO venta VALUES(584, 'Halloween', 26);
INSERT INTO venta VALUES(585, 'Halloween', 142);
INSERT INTO venta VALUES(586, 'Black Friday', 141);
INSERT INTO venta VALUES(587, 'Escolar', 50);
INSERT INTO venta VALUES(588, 'Black Friday', 65);
INSERT INTO venta VALUES(589, 'Halloween', 136);
INSERT INTO venta VALUES(590, 'Sin IVA', 76);
INSERT INTO venta VALUES(591, 'Black Friday', 69);
INSERT INTO venta VALUES(592, 'Escolar', 22);
INSERT INTO venta VALUES(593, 'Sin IVA', 147);
INSERT INTO venta VALUES(594, 'Sin IVA', 145);
INSERT INTO venta VALUES(595, 'San Valentin', 4);
INSERT INTO venta VALUES(596, 'Año nuevo', 10);
INSERT INTO venta VALUES(597, 'Escolar', 144);
INSERT INTO venta VALUES(598, 'Halloween', 55);
INSERT INTO venta VALUES(599, 'Año nuevo', 55);
INSERT INTO venta VALUES(600, 'Sin IVA', 74);
INSERT INTO venta VALUES(601, 'Escolar', 119);
INSERT INTO venta VALUES(602, 'Black Friday', 82);
INSERT INTO venta VALUES(603, 'Sin IVA', 19);
INSERT INTO venta VALUES(604, 'Sin IVA', 80);
INSERT INTO venta VALUES(605, 'Halloween', 65);
INSERT INTO venta VALUES(606, 'Año nuevo', 33);
INSERT INTO venta VALUES(607, 'Black Friday', 144);
INSERT INTO venta VALUES(608, 'Sin IVA', 149);
INSERT INTO venta VALUES(609, 'San Valentin', 8);
INSERT INTO venta VALUES(610, 'Halloween', 63);
INSERT INTO venta VALUES(611, 'Navidad', 17);
INSERT INTO venta VALUES(612, 'Año nuevo', 9);
INSERT INTO venta VALUES(613, 'Escolar', 76);
INSERT INTO venta VALUES(614, 'Halloween', 72);
INSERT INTO venta VALUES(615, 'Navidad', 120);
INSERT INTO venta VALUES(616, 'Escolar', 20);
INSERT INTO venta VALUES(617, 'Año nuevo', 65);
INSERT INTO venta VALUES(618, 'Black Friday', 57);
INSERT INTO venta VALUES(619, 'Escolar', 133);
INSERT INTO venta VALUES(620, 'Navidad', 93);
INSERT INTO venta VALUES(621, 'Black Friday', 9);
INSERT INTO venta VALUES(622, 'San Valentin', 24);
INSERT INTO venta VALUES(623, 'Escolar', 16);
INSERT INTO venta VALUES(624, 'Halloween', 88);
INSERT INTO venta VALUES(625, 'Año nuevo', 96);
INSERT INTO venta VALUES(626, 'Halloween', 102);
INSERT INTO venta VALUES(627, 'Navidad', 27);
INSERT INTO venta VALUES(628, 'Escolar', 122);
INSERT INTO venta VALUES(629, 'Halloween', 113);
INSERT INTO venta VALUES(630, 'Navidad', 36);
INSERT INTO venta VALUES(631, 'Halloween', 121);
INSERT INTO venta VALUES(632, 'Black Friday', 119);
INSERT INTO venta VALUES(633, 'Black Friday', 3);
INSERT INTO venta VALUES(634, 'Escolar', 39);
INSERT INTO venta VALUES(635, 'Halloween', 110);
INSERT INTO venta VALUES(636, 'Black Friday', 70);
INSERT INTO venta VALUES(637, 'Black Friday', 134);
INSERT INTO venta VALUES(638, 'Escolar', 35);
INSERT INTO venta VALUES(639, 'Escolar', 9);
INSERT INTO venta VALUES(640, 'Año nuevo', 22);
INSERT INTO venta VALUES(641, 'Año nuevo', 81);
INSERT INTO venta VALUES(642, 'Sin IVA', 90);
INSERT INTO venta VALUES(643, 'Black Friday', 132);
INSERT INTO venta VALUES(644, 'Halloween', 68);
INSERT INTO venta VALUES(645, 'San Valentin', 55);
INSERT INTO venta VALUES(646, 'Black Friday', 113);
INSERT INTO venta VALUES(647, 'Black Friday', 101);
INSERT INTO venta VALUES(648, 'Navidad', 48);
INSERT INTO venta VALUES(649, 'Halloween', 115);
INSERT INTO venta VALUES(650, 'Escolar', 5);
INSERT INTO venta VALUES(651, 'Año nuevo', 20);
INSERT INTO venta VALUES(652, 'Navidad', 31);
INSERT INTO venta VALUES(653, 'Halloween', 101);
INSERT INTO venta VALUES(654, 'San Valentin', 82);
INSERT INTO venta VALUES(655, 'Navidad', 28);
INSERT INTO venta VALUES(656, 'San Valentin', 84);
INSERT INTO venta VALUES(657, 'Halloween', 31);
INSERT INTO venta VALUES(658, 'Escolar', 15);
INSERT INTO venta VALUES(659, 'San Valentin', 127);
INSERT INTO venta VALUES(660, 'Navidad', 44);
INSERT INTO venta VALUES(661, 'Año nuevo', 11);
INSERT INTO venta VALUES(662, 'Navidad', 71);
INSERT INTO venta VALUES(663, 'Navidad', 49);
INSERT INTO venta VALUES(664, 'San Valentin', 120);
INSERT INTO venta VALUES(665, 'Halloween', 4);
INSERT INTO venta VALUES(666, 'Halloween', 52);
INSERT INTO venta VALUES(667, 'Año nuevo', 3);
INSERT INTO venta VALUES(668, 'Black Friday', 90);
INSERT INTO venta VALUES(669, 'San Valentin', 101);
INSERT INTO venta VALUES(670, 'Año nuevo', 51);
INSERT INTO venta VALUES(671, 'San Valentin', 73);
INSERT INTO venta VALUES(672, 'Sin IVA', 134);
INSERT INTO venta VALUES(673, 'Sin IVA', 71);
INSERT INTO venta VALUES(674, 'Sin IVA', 141);
INSERT INTO venta VALUES(675, 'Halloween', 16);
INSERT INTO venta VALUES(676, 'Año nuevo', 23);
INSERT INTO venta VALUES(677, 'San Valentin', 16);
INSERT INTO venta VALUES(678, 'Halloween', 92);
INSERT INTO venta VALUES(679, 'Año nuevo', 124);
INSERT INTO venta VALUES(680, 'Escolar', 71);
INSERT INTO venta VALUES(681, 'Navidad', 148);
INSERT INTO venta VALUES(682, 'Escolar', 145);
INSERT INTO venta VALUES(683, 'Año nuevo', 123);
INSERT INTO venta VALUES(684, 'Escolar', 22);
INSERT INTO venta VALUES(685, 'Año nuevo', 33);
INSERT INTO venta VALUES(686, 'Año nuevo', 124);
INSERT INTO venta VALUES(687, 'Sin IVA', 63);
INSERT INTO venta VALUES(688, 'Año nuevo', 84);
INSERT INTO venta VALUES(689, 'Navidad', 109);
INSERT INTO venta VALUES(690, 'San Valentin', 109);
INSERT INTO venta VALUES(691, 'Escolar', 128);
INSERT INTO venta VALUES(692, 'Sin IVA', 9);
INSERT INTO venta VALUES(693, 'San Valentin', 10);
INSERT INTO venta VALUES(694, 'Halloween', 61);
INSERT INTO venta VALUES(695, 'Sin IVA', 147);
INSERT INTO venta VALUES(696, 'Navidad', 104);
INSERT INTO venta VALUES(697, 'Halloween', 147);
INSERT INTO venta VALUES(698, 'San Valentin', 137);
INSERT INTO venta VALUES(699, 'Navidad', 13);
INSERT INTO venta VALUES(700, 'Escolar', 109);
INSERT INTO venta VALUES(701, 'Halloween', 11);
INSERT INTO venta VALUES(702, 'Halloween', 47);
INSERT INTO venta VALUES(703, 'Black Friday', 35);
INSERT INTO venta VALUES(704, 'Halloween', 115);
INSERT INTO venta VALUES(705, 'Sin IVA', 42);
INSERT INTO venta VALUES(706, 'Halloween', 49);
INSERT INTO venta VALUES(707, 'Sin IVA', 16);
INSERT INTO venta VALUES(708, 'Halloween', 133);
INSERT INTO venta VALUES(709, 'Sin IVA', 52);
INSERT INTO venta VALUES(710, 'Black Friday', 16);
INSERT INTO venta VALUES(711, 'Año nuevo', 70);
INSERT INTO venta VALUES(712, 'Navidad', 51);
INSERT INTO venta VALUES(713, 'Sin IVA', 13);
INSERT INTO venta VALUES(714, 'San Valentin', 56);
INSERT INTO venta VALUES(715, 'Navidad', 54);
INSERT INTO venta VALUES(716, 'Escolar', 127);
INSERT INTO venta VALUES(717, 'Navidad', 83);
INSERT INTO venta VALUES(718, 'Navidad', 44);
INSERT INTO venta VALUES(719, 'Black Friday', 46);
INSERT INTO venta VALUES(720, 'Escolar', 70);
INSERT INTO venta VALUES(721, 'Escolar', 70);
INSERT INTO venta VALUES(722, 'San Valentin', 5);
INSERT INTO venta VALUES(723, 'Sin IVA', 65);
INSERT INTO venta VALUES(724, 'Navidad', 71);
INSERT INTO venta VALUES(725, 'San Valentin', 36);
INSERT INTO venta VALUES(726, 'Año nuevo', 54);
INSERT INTO venta VALUES(727, 'Sin IVA', 47);
INSERT INTO venta VALUES(728, 'Navidad', 72);
INSERT INTO venta VALUES(729, 'Navidad', 31);
INSERT INTO venta VALUES(730, 'Año nuevo', 11);
INSERT INTO venta VALUES(731, 'Halloween', 39);
INSERT INTO venta VALUES(732, 'Sin IVA', 18);
INSERT INTO venta VALUES(733, 'Navidad', 141);
INSERT INTO venta VALUES(734, 'Black Friday', 21);
INSERT INTO venta VALUES(735, 'Halloween', 116);
INSERT INTO venta VALUES(736, 'Navidad', 116);
INSERT INTO venta VALUES(737, 'Año nuevo', 11);
INSERT INTO venta VALUES(738, 'Sin IVA', 93);
INSERT INTO venta VALUES(739, 'Black Friday', 41);
INSERT INTO venta VALUES(740, 'Año nuevo', 142);
INSERT INTO venta VALUES(741, 'Black Friday', 107);
INSERT INTO venta VALUES(742, 'Halloween', 100);
INSERT INTO venta VALUES(743, 'Halloween', 125);
INSERT INTO venta VALUES(744, 'Black Friday', 137);
INSERT INTO venta VALUES(745, 'Halloween', 101);
INSERT INTO venta VALUES(746, 'Sin IVA', 127);
INSERT INTO venta VALUES(747, 'Black Friday', 113);
INSERT INTO venta VALUES(748, 'Black Friday', 45);
INSERT INTO venta VALUES(749, 'Sin IVA', 75);
INSERT INTO venta VALUES(750, 'Halloween', 121);
INSERT INTO venta VALUES(751, 'Halloween', 91);
INSERT INTO venta VALUES(752, 'Escolar', 2);
INSERT INTO venta VALUES(753, 'Sin IVA', 30);
INSERT INTO venta VALUES(754, 'Halloween', 16);
INSERT INTO venta VALUES(755, 'Sin IVA', 114);
INSERT INTO venta VALUES(756, 'Black Friday', 56);
INSERT INTO venta VALUES(757, 'Año nuevo', 10);
INSERT INTO venta VALUES(758, 'San Valentin', 36);
INSERT INTO venta VALUES(759, 'Halloween', 78);
INSERT INTO venta VALUES(760, 'Escolar', 84);
INSERT INTO venta VALUES(761, 'Escolar', 23);
INSERT INTO venta VALUES(762, 'Navidad', 97);
INSERT INTO venta VALUES(763, 'Black Friday', 62);
INSERT INTO venta VALUES(764, 'Sin IVA', 70);
INSERT INTO venta VALUES(765, 'Halloween', 37);
INSERT INTO venta VALUES(766, 'San Valentin', 55);
INSERT INTO venta VALUES(767, 'Año nuevo', 95);
INSERT INTO venta VALUES(768, 'San Valentin', 36);
INSERT INTO venta VALUES(769, 'Escolar', 116);
INSERT INTO venta VALUES(770, 'Halloween', 125);
INSERT INTO venta VALUES(771, 'Escolar', 69);
INSERT INTO venta VALUES(772, 'Halloween', 101);
INSERT INTO venta VALUES(773, 'San Valentin', 35);
INSERT INTO venta VALUES(774, 'Sin IVA', 50);
INSERT INTO venta VALUES(775, 'Año nuevo', 63);
INSERT INTO venta VALUES(776, 'Sin IVA', 87);
INSERT INTO venta VALUES(777, 'Año nuevo', 91);
INSERT INTO venta VALUES(778, 'San Valentin', 96);
INSERT INTO venta VALUES(779, 'Navidad', 120);
INSERT INTO venta VALUES(780, 'Sin IVA', 146);
INSERT INTO venta VALUES(781, 'Sin IVA', 28);
INSERT INTO venta VALUES(782, 'Sin IVA', 28);
INSERT INTO venta VALUES(783, 'Navidad', 144);
INSERT INTO venta VALUES(784, 'Black Friday', 103);
INSERT INTO venta VALUES(785, 'Halloween', 57);
INSERT INTO venta VALUES(786, 'Sin IVA', 58);
INSERT INTO venta VALUES(787, 'Sin IVA', 88);
INSERT INTO venta VALUES(788, 'Halloween', 118);
INSERT INTO venta VALUES(789, 'Sin IVA', 129);
INSERT INTO venta VALUES(790, 'Black Friday', 66);
INSERT INTO venta VALUES(791, 'Año nuevo', 81);
INSERT INTO venta VALUES(792, 'Sin IVA', 55);
INSERT INTO venta VALUES(793, 'Sin IVA', 22);
INSERT INTO venta VALUES(794, 'Halloween', 109);
INSERT INTO venta VALUES(795, 'Halloween', 48);
INSERT INTO venta VALUES(796, 'Año nuevo', 148);
INSERT INTO venta VALUES(797, 'Escolar', 15);
INSERT INTO venta VALUES(798, 'Escolar', 14);
INSERT INTO venta VALUES(799, 'Sin IVA', 21);
INSERT INTO venta VALUES(800, 'Escolar', 72);
